CustomerID,Last_Purchase_Date,First_Purchase_Date,Total_Orders,Days_Since_Last_Purchase,Churned
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,1,325,True
12347,2011-12-07 15:52:00,2010-12-07 14:57:00,7,1,False
12348,2011-09-25 13:13:00,2010-12-16 19:09:00,4,74,False
12349,2011-11-21 09:51:00,2011-11-21 09:51:00,1,18,False
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,309,True
12352,2011-11-03 14:37:00,2011-02-16 12:33:00,8,35,False
12353,2011-05-19 17:47:00,2011-05-19 17:47:00,1,203,True
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,231,True
12355,2011-05-09 13:49:00,2011-05-09 13:49:00,1,213,True
12356,2011-11-17 08:40:00,2011-01-18 09:50:00,3,22,False
12357,2011-11-06 16:07:00,2011-11-06 16:07:00,1,32,False
12358,2011-12-08 10:26:00,2011-07-12 10:04:00,2,1,False
12359,2011-10-13 12:47:00,2011-01-12 12:43:00,4,57,False
12360,2011-10-18 15:22:00,2011-05-23 09:43:00,3,51,False
12361,2011-02-25 13:51:00,2011-02-25 13:51:00,1,286,True
12362,2011-12-06 15:40:00,2011-02-17 10:30:00,10,2,False
12363,2011-08-22 10:18:00,2011-04-11 13:29:00,2,109,True
12364,2011-12-02 10:22:00,2011-08-19 15:24:00,4,7,False
12365,2011-02-21 14:04:00,2011-02-21 13:51:00,2,290,True
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,3,False
12370,2011-10-19 14:51:00,2010-12-14 12:58:00,4,50,False
12371,2011-10-26 10:16:00,2011-10-11 10:43:00,2,44,False
12372,2011-09-29 12:12:00,2011-02-16 12:46:00,3,71,False
12373,2011-02-01 13:10:00,2011-02-01 13:10:00,1,310,True
12374,2011-11-14 15:37:00,2011-11-14 15:37:00,1,24,False
12375,2011-11-29 10:36:00,2011-09-02 14:23:00,2,10,False
12377,2011-01-28 15:45:00,2010-12-20 09:37:00,2,314,True
12378,2011-08-02 10:34:00,2011-08-02 10:34:00,1,129,True
12379,2011-09-19 10:09:00,2011-06-22 16:32:00,2,81,False
12380,2011-11-18 11:27:00,2011-06-07 09:49:00,4,21,False
12381,2011-12-05 12:44:00,2011-08-12 09:57:00,5,4,False
12383,2011-06-08 08:02:00,2010-12-22 14:28:00,5,184,True
12384,2011-11-11 08:39:00,2011-08-10 11:23:00,2,28,False
12386,2011-01-06 12:37:00,2010-12-08 09:53:00,2,337,True
12388,2011-11-24 12:30:00,2011-01-17 11:12:00,6,15,False
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,1,79,False
12391,2011-11-18 12:07:00,2011-11-18 12:07:00,1,21,False
12393,2011-09-28 15:41:00,2011-01-11 09:47:00,4,71,False
12394,2011-10-07 08:08:00,2011-05-06 14:01:00,2,63,False
12395,2011-11-20 15:21:00,2010-12-03 16:35:00,12,18,False
12397,2011-11-04 09:52:00,2011-07-27 14:21:00,2,35,False
12398,2011-10-25 10:27:00,2011-10-25 10:27:00,1,45,False
12399,2011-08-12 13:15:00,2011-03-23 09:42:00,4,118,True
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,1,302,True
12402,2011-01-20 13:49:00,2011-01-20 13:49:00,1,322,True
12403,2011-10-21 10:51:00,2011-10-21 10:51:00,1,49,False
12405,2011-07-14 08:52:00,2011-07-14 08:52:00,1,148,True
12406,2011-11-17 19:22:00,2011-06-09 10:23:00,2,21,False
12407,2011-10-21 10:11:00,2011-03-20 13:21:00,5,49,False
12408,2011-11-07 12:27:00,2011-03-24 14:46:00,5,32,False
12409,2011-09-22 10:38:00,2011-06-10 12:19:00,3,78,False
12410,2011-02-04 10:39:00,2011-02-04 10:38:00,2,308,True
12412,2011-09-26 10:16:00,2011-06-23 13:51:00,3,74,False
12413,2011-10-04 09:00:00,2011-01-06 16:12:00,3,66,False
12414,2011-05-06 14:51:00,2011-02-02 14:51:00,3,216,True
12415,2011-11-15 14:22:00,2011-01-06 11:12:00,21,23,False
12417,2011-12-06 14:52:00,2010-12-17 11:51:00,9,2,False
12418,2011-08-19 11:08:00,2011-08-19 11:08:00,1,112,True
12420,2011-10-07 08:55:00,2011-10-07 08:55:00,1,63,False
12421,2011-11-24 09:07:00,2011-01-24 15:09:00,4,15,False
12422,2011-09-05 09:48:00,2011-01-19 09:13:00,3,95,True
12423,2011-12-09 10:10:00,2010-12-21 10:54:00,8,0,False
12424,2011-06-30 12:06:00,2011-06-30 12:06:00,2,162,True
12425,2011-09-22 17:31:00,2011-09-22 17:31:00,1,77,False
12426,2011-05-29 12:26:00,2011-05-29 12:26:00,1,194,True
12427,2011-11-18 08:56:00,2010-12-03 10:44:00,3,21,False
12428,2011-11-14 08:22:00,2011-03-01 09:33:00,9,25,False
12429,2011-11-30 17:22:00,2010-12-09 12:05:00,4,8,False
12430,2011-10-27 15:09:00,2011-10-27 15:09:00,1,42,False
12431,2011-11-04 11:55:00,2010-12-01 10:03:00,15,35,False
12432,2011-10-28 11:43:00,2011-06-20 13:27:00,5,42,False
12433,2011-12-09 10:02:00,2010-12-01 13:24:00,7,0,False
12434,2011-09-16 12:38:00,2011-03-24 13:05:00,2,84,False
12435,2011-09-21 09:06:00,2011-03-17 07:40:00,2,79,False
12436,2011-09-01 12:09:00,2011-09-01 12:09:00,1,99,True
12437,2011-12-08 11:35:00,2011-01-12 14:13:00,18,1,False
12438,2011-11-25 13:28:00,2011-07-22 13:29:00,2,13,False
12441,2010-12-08 10:45:00,2010-12-08 10:45:00,1,366,True
12442,2011-12-06 14:22:00,2011-12-06 14:22:00,1,2,False
12444,2011-11-18 13:23:00,2011-06-21 14:00:00,5,20,False
12445,2011-11-17 18:43:00,2011-11-17 18:43:00,1,21,False
12446,2011-10-13 12:50:00,2011-10-13 12:50:00,1,57,False
12447,2011-04-10 13:25:00,2011-04-10 13:25:00,1,242,True
12448,2011-10-26 13:46:00,2011-10-26 13:46:00,1,43,False
12449,2011-11-17 13:46:00,2011-06-05 15:37:00,4,21,False
12450,2011-07-06 14:41:00,2011-06-19 14:36:00,2,155,True
12451,2011-11-29 08:40:00,2011-01-19 09:05:00,5,10,False
12452,2011-11-23 10:28:00,2011-11-23 08:05:00,2,16,False
12453,2011-07-28 14:08:00,2011-07-28 14:08:00,1,133,True
12454,2011-10-14 17:13:00,2011-10-14 17:13:00,1,55,False
12455,2011-09-27 15:31:00,2011-02-16 09:56:00,6,72,False
12456,2011-10-26 14:41:00,2011-03-30 09:12:00,3,43,False
12457,2011-10-04 13:13:00,2011-04-14 18:57:00,7,65,False
12458,2011-09-29 15:25:00,2011-02-28 10:55:00,2,70,False
12461,2011-09-06 16:57:00,2011-07-08 10:23:00,2,93,True
12462,2011-11-21 09:11:00,2011-02-09 14:44:00,2,18,False
12463,2011-10-17 13:44:00,2011-04-12 12:47:00,4,52,False
12464,2011-11-29 13:33:00,2011-02-03 13:30:00,8,9,False
12465,2011-11-22 16:34:00,2011-06-23 13:37:00,2,16,False
12468,2011-06-05 11:36:00,2011-01-27 13:29:00,2,187,True
12471,2011-12-07 15:43:00,2010-12-10 09:35:00,30,1,False
12472,2011-11-07 14:01:00,2010-12-05 14:19:00,7,31,False
12473,2011-11-10 13:46:00,2011-06-01 10:15:00,5,28,False
12474,2011-11-22 14:39:00,2011-01-14 10:06:00,18,16,False
12475,2011-10-17 10:10:00,2011-10-17 10:10:00,1,53,False
12476,2011-11-24 12:40:00,2010-12-13 14:39:00,11,15,False
12477,2011-11-17 09:51:00,2011-02-11 12:45:00,6,22,False
12478,2011-12-06 09:56:00,2011-12-06 09:56:00,1,3,False
12479,2011-11-28 13:26:00,2011-11-28 13:26:00,1,10,False
12480,2011-11-11 14:52:00,2011-01-07 15:27:00,4,27,False
12481,2011-11-17 08:29:00,2010-12-09 10:13:00,10,22,False
12483,2011-11-22 17:02:00,2011-01-04 14:20:00,8,16,False
12484,2011-11-07 11:37:00,2011-01-07 14:04:00,6,32,False
12488,2011-11-30 08:50:00,2011-09-25 10:34:00,3,9,False
12489,2011-01-07 13:13:00,2011-01-07 13:13:00,1,335,True
12490,2011-12-04 16:07:00,2011-01-14 09:13:00,10,4,False
12491,2011-11-01 12:18:00,2011-11-01 12:18:00,1,38,False
12492,2011-10-07 15:15:00,2011-08-26 14:51:00,2,62,False
12493,2011-06-27 10:17:00,2011-05-26 14:53:00,2,165,True
12494,2011-11-24 09:34:00,2010-12-09 11:31:00,7,15,False
12497,2011-09-19 12:29:00,2011-09-19 12:29:00,1,81,False
12498,2011-11-18 12:53:00,2011-10-13 09:30:00,3,20,False
12500,2011-11-16 16:20:00,2011-01-10 09:48:00,11,22,False
12501,2011-01-07 12:28:00,2011-01-07 12:28:00,1,336,True
12502,2011-09-05 11:52:00,2011-02-03 10:41:00,5,95,True
12504,2011-11-21 16:02:00,2011-11-09 14:56:00,2,17,False
12506,2011-04-21 08:54:00,2011-04-21 08:54:00,1,232,True
12507,2011-07-28 17:09:00,2011-02-14 09:24:00,3,133,True
12508,2011-11-13 15:37:00,2011-11-10 16:27:00,2,25,False
12509,2011-02-28 14:45:00,2011-02-28 14:45:00,1,283,True
12510,2011-07-20 10:15:00,2011-01-18 14:04:00,2,142,True
12512,2011-10-04 14:55:00,2011-10-04 14:53:00,2,65,False
12513,2011-08-19 10:51:00,2011-08-19 10:51:00,1,112,True
12514,2011-03-17 16:38:00,2011-03-17 16:38:00,1,266,True
12515,2010-12-21 15:43:00,2010-12-21 15:43:00,1,352,True
12516,2011-09-23 09:13:00,2011-06-12 11:37:00,2,77,False
12517,2011-11-11 14:04:00,2011-06-02 15:13:00,5,27,False
12518,2011-12-09 10:13:00,2011-08-21 13:18:00,5,0,False
12519,2011-10-07 09:26:00,2011-10-07 09:26:00,1,63,False
12520,2011-09-21 15:23:00,2011-03-11 11:35:00,5,78,False
12521,2011-07-20 10:51:00,2011-07-20 10:51:00,1,142,True
12522,2011-10-31 15:30:00,2011-10-19 14:41:00,2,38,False
12523,2011-11-20 12:55:00,2011-01-12 09:43:00,11,18,False
12524,2011-11-30 15:31:00,2011-01-10 10:35:00,8,8,False
12526,2011-12-09 12:09:00,2011-09-06 14:19:00,3,0,False
12527,2011-09-19 11:55:00,2011-01-18 12:05:00,3,81,False
12528,2011-11-30 14:40:00,2011-01-31 09:05:00,6,8,False
12530,2011-10-11 12:34:00,2011-01-07 10:04:00,4,59,False
12531,2011-11-25 11:12:00,2011-11-25 11:12:00,1,14,False
12532,2011-11-09 13:47:00,2011-11-09 13:47:00,1,29,False
12534,2011-08-01 10:26:00,2011-08-01 10:26:00,1,130,True
12535,2011-09-09 08:48:00,2011-06-06 12:47:00,2,91,True
12536,2011-10-27 14:20:00,2011-10-11 14:52:00,3,42,False
12538,2011-11-10 17:16:00,2011-11-10 17:16:00,1,28,False
12539,2011-11-17 13:30:00,2011-01-10 09:11:00,4,21,False
12540,2011-11-20 11:31:00,2010-12-13 09:39:00,17,19,False
12541,2011-11-10 10:40:00,2011-03-04 09:32:00,3,29,False
